listing_id,date
50452284,2022-09-22
1223171,2019-05-24
6133157,2022-05-03
17606429,2025-01-03
23416497,2022-01-30
48875301,2023-09-02
6474026,2023-02-17
14079338,2023-06-07
21633099,2023-02-12
23416497,2021-10-11
9811199,2017-09-11
3459981,2022-05-08
904196274413977378,2024-06-05
912070346204926147,2024-04-18
17967394,2018-07-13
45539504,2022-06-08
50383849,2023-03-31
22853545,2019-07-28
20071782,2019-04-04
1106584921726247793,2024-10-27
20793220,2019-05-20
45695711,2023-05-18
1443515,2014-11-16
43719104,2025-07-10
15465365,2019-09-22
3501084,2014-07-28
20405959,2022-08-01
43922419,2022-12-30
7555385,2016-06-19
1432378,2019-08-08
19132615,2024-08-21
7925449,2019-05-09
24217698,2023-08-21
13460110,2025-04-29
1297703579271963982,2025-07-14
45051672,2023-10-26
9323377,2024-10-18
3929712,2016-10-08
50452369,2023-10-24
655216,2019-08-10
45694235,2023-10-22
50383849,2023-02-18
18666266,2019-06-23
13051355,2025-01-08
24730066,2019-05-27
2705165,2018-08-19
8384069,2019-03-14
29800652,2019-07-07
654931,2014-09-01
744659,2022-04-23
18514892,2024-06-14
30177899,2021-02-14
38425685,2023-10-15
38874720,2023-03-19
254104,2016-09-16
28018811,2018-09-15
1160667080847423918,2025-05-10
25875180,2025-03-23
1174439919831208454,2024-07-19
775270334933023103,2023-07-21
941243980403100595,2024-10-20
6571994,2022-05-17
1793971,2019-02-21
29051,2022-09-21
614998979591681405,2023-04-29
6012665,2019-10-18
31064558,2024-09-04
654890743576991709,2025-05-05
612900007919508138,2024-07-11
4416539,2017-04-10
2763386,2017-04-23
20071782,2018-03-16
818881,2019-12-16
4984717,2024-02-09
937635,2025-02-21
804930830559538821,2025-08-13
45463326,2025-07-12
5617321,2024-06-02
27464499,2022-08-14
883053599514590236,2024-01-26
29051,2023-11-12
16459632,2021-11-14
1080404233704746629,2024-05-09
22508949,2020-08-02
12006505,2025-04-25
5809024,2023-03-02
656401880250077715,2023-03-01
50135127,2023-05-10
19527617,2023-08-20
